,chinese_name,director,episode,movie_name,movie_time,ranking,score,score_num,summary,tv_time,week,month,day,year
0,星际牛仔,渡边信一郎,26,カウボーイビバップ,,1.0,9.1,6914.0,2021年，随着超光速航行技术的实现，人类得以在太阳系范围内方便的自由移动，但是由于设计上的失误，这种技术引发了月球的爆炸，无数的月球碎片被吸引向地球，造成了空前绝后的大灾难。存活下来的人类逃离地球，并开始在太阳系各地建立家园。由于这次灾难，国家、政府等权利机构都极为不稳定、治安问题也成为了一个难题。为了在人力资源不足的情况下抓捕罪犯，有些组织开始允许个人抓捕通缉的罪犯并换取奖金，“赏金猎人”这个职业也就由此诞生了。,10/23/1998,星期五,10,23,1998
1,攻壳机动队,神山健治,26,攻殻機動隊 S.A.C. 2nd GIG,,2.0,9.1,3904.0,这个世界距离我们并不遥远，你把它看作是现代社会的镜子亦为不可。,1/1/2004,,1,1,2004
2,攻壳机动队,神山健治,26,攻殻機動隊 STAND ALONE COMPLEX,,3.0,9.1,4833.0,公元2030的世界，改造人、生化人、机器人等等的存在已经非常普及。主人公草薙素子正是人类最高科技的结晶：只有大脑是人脑，其余身体部分皆为机械装置，外表看起来则是一名美貌兼干练的年轻女性。在这个高科技的世界里，人类通过更换身体的各个部件而达到长寿已不是新鲜事，更有许多人的大脑也已经电脑化，从而真正实现所谓的“电子化的存在”(并非“信息化的存在”)。从庞大的社会结构直至单独的个人身体，都可方便的通过网络连接，构成了一个无比复杂的信息网络：这就是本作的世界基础。虽然人类社会的电脑化带来很多方便，但是无论构造成为身体的材料怎样变化，人类毕竟还是拥有人性，因此各种以电脑为契机的犯罪层出不穷。日本的公安九课是一个高出统治阶层的存在，它的职能就是猎捕一切有关于高级电脑类刑事犯罪者。公安九课所面对的罪犯：有时可能是政府中的高官，有时可能是偷换他人大脑的投机分子，更有可能是身边的同伴；每一次的案件，都是对人类存在的再思考，都可能给队内的每一个队员带来沉重的精神压力。,10/1/2002,,10,1,2002
3,,石原立也,24,CLANNAD ～AFTER STORY～,,4.0,9.0,11118.0,在某个小镇，主角冈崎朋也因为家庭的因素成为不良少年，一直与春原阳平为伍，在光坂高校过着潦倒的生活，但冀望终有一天能够离开所在的小镇。某一天，他在学校坡道前发现了一个止步不前的女孩，在朋也认识了这个名为“古河渚”的女孩后，他的生活开始有了重大的变化。,10/2/2008,星期四,10,2,2008
4,新世纪福音战士,庵野秀明,26,新世紀エヴァンゲリオン,,5.0,8.9,12349.0,2000年，一个科学探险队在南极洲针对被称作“第一使徒”亚当的“光之巨人”进行探险。在对其进行接触实验时，“光之巨人”自毁，从而发生了“第二次冲击”，进而导致世界大战。最后，人类人口减半，地轴偏转、气候改变。根据对“第二次冲击”的调查，联合国在日本箱根成立人工进化研究所（即GEHIRN）从事EVA（指机器人）的发展研究，后GEHIRN利用在人工进化研究所下方发现的巨大空洞建造了总部。,10/4/1995,,10,4,1995
5,攻壳机动队,押井守,1,GHOST IN THE SHELL / 攻殻機動隊,11/18/1995,6.0,8.9,4020.0,2029年，公安九课在市容很像香港的日本城市“新港市”中执行各种秘密任务。九课因为不顾正当程序的自作主张，强硬行事，往往与政府其他部门起冲突，例如负责外交的公安六课就与九课不合。另一方面，九课之中的重要人物，全身是义体的机械生化人草薙素子，对于自己的现状一直隐隐感到不满。有一天，公安九课因为一件外国政要的刺杀未遂案而开始追查神秘的黑客“傀儡师”。傀儡师能透过网络入侵人脑，植入虚拟记忆，再利用记忆被窜改的对象来达成目的。虽然九课的追查没有成功，藏有傀儡师的“灵魂”的机械生化人却自行来到九课。公安六课随后赶来将傀儡师绑走。草薙素子因为在事前就推测出六课的绑架行动而成功拦截傀儡师。这时发现原来傀儡师并不是人类，而是公安六课设计来非法操纵人类的电脑程式“2501计划”。2501计划在意外中产生自觉意识，决定逃出六课以求生存，并且要求和草薙素子的灵魂“融合”以求进一步发展。草薙素子最后在同事巴特的协助与掩护下完成融合并且脱离政府掌握，下落不明，其意识与整个网络融合。,,,,,
6,新世纪福音战士剧场版,鹤卷和哉,2,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,7/19/1997,7.0,8.9,6168.0,神秘的EVA零号机驾驶员绫波丽，在与碇元度约定之时，来到了NERV底层中央教条的红色水池边。她的命运似乎就将在此结束。,,,,,
7,钢之炼金术师,入江泰浩,64,鋼の錬金術師 FULLMETAL ALCHEMIST,,8.0,8.8,9639.0,因思念已故母亲，触犯炼金术中被视为最大禁忌“人体炼成”，而失去一切的兄弟──装上机械铠、有“钢之炼金术师”之称号的哥哥爱德华·爱力克，以及灵魂被固定于铠甲的弟弟阿尔冯斯──两人为取回失去的东西，踏上寻找贤者之石的旅程，并随着接近贤者之石的真相、在巨大的阴谋中勇往直前。暗地活跃的非人类、徐徐露出本质的军事国家亚美斯多利斯、受虐民众的无比憎恨与复仇怨念、炼金术带来的种种悲剧……散于各点的悲剧，终将连成线，人民、甚至国家都会被卷入其中。,4/5/2009,星期天,4,5,2009
8,浪客剑心,古桥一浩,4,るろうに剣心 -明治剣客浪漫譚- 追憶編,,9.0,8.8,3228.0,幕府时代末期，外忧内患，山河动荡，百姓生活困苦，且生命时刻受到威胁。少年心太因其善良纯洁之心感动飞天御剑流高手比古清十郎，被其收入门下学习剑法，更名剑心。,,,,,
9,月的狮子,新房昭之,22,3月のライオン 第2シリーズ,,10.0,8.8,3066.0,,10/14/2017,星期六,10,14,2017
10,灌篮高手,西泽信孝,101,スラムダンク,,11.0,8.8,5644.0,樱木花道，湘北高校一年级生。在初中有被50个女生连续抛弃的历史。因第50个女生的一句“我喜欢的是篮球队的小田同学。”而对篮球深恶痛绝。上高中不经意被美少女赤木晴子的一句：“你喜欢篮球吗？”又燃起希望。为得到晴子的芳心，花道不顾一切的加入篮球队，并以惊人的速度进步。,10/16/1993,,10,16,1993
11,银魂,藤田阳一,51,銀魂',,12.0,8.8,7839.0,在2011年4月进行电视动画的第二期播放，集数承接第一期，从第202话开始。第二期动画标题做了小改动。以《银魂'》做为新标题，即在原标题的魂字右上角加了一点。,4/4/2011, ,4,4,2011
12,白箱,水岛努,24,SHIROBAKO,,13.0,8.8,8754.0,本作的故事主要围绕追逐梦想的五名女生——宫森葵、安原绘麻、坂木静香、藤堂美沙、今井绿展开，是一部描写以白箱的完成为目标而奋斗的她们，每天遇到的麻烦以及策划工作时碰到的纠葛与挫折，还有制作组在制作作品时的团结和冲突的动画业界的日常的群像剧作品。,10/9/2014,星期四,10,9,2014
13,猫和老鼠, ,164,Tom and Jerry,,14.0,8.8,3510.0,"TomandJerryisanAmericananimatedseriesofshortfilmscreatedin1940byWilliamHannaandJosephBarbera.Itcentersonarivalrybetweenitstwomaincharacters,TomCatandJerryMouse,andmanyrecurringcharacters,basedaroundslapstickcomedy.",2/10/1940,,2,10,1940
14,银河英雄传说,石黑升,110,銀河英雄伝説,,15.0,8.8,1151.0,提醒：剧情简介包含了银河英雄传说ova版的全部内容，如担心剧透，请谨慎阅读和避免点击展开选项,,,,,
15,银魂,高松信司,201,銀魂,,16.0,8.7,7330.0,"江户时代末期（本作的20年前）,被称为“天人（あまんと）”的谜之异星人来袭。于是地球人与天人之间的战争瞬即爆发，为数众多的武士和攘夷派志士都参与与天人的战斗，幕府见识到天人强大的实力后，最终向天人低头，放弃武士不管，擅自与天人签订不平等条约，准许他们入国。其后更颁布了“废刀令”，夺走了武士的刀，使他们无力反抗。自此，天人横行霸道，幕府为天人所影响，甚至被控制，成为了“傀儡政权”。在这样的时代，有一个武士与同伴愉快地过著异想天开的生活。",4/4/2006, ,4,4,2006
16,虫师,长滨博史,26,蟲師,,17.0,8.7,6057.0,这里的虫既不是动植物，也与微生物和菌类不同，是更接近生命原生态的东西。这些东西总称为“虫”。它们的形态和存在都很暧昧，当人与虫的世界重叠之时，发生了超越人类智慧的怪异现象，此时人类才开始知道它们的存在。,10/22/2005,,10,22,2005
17,进击的巨人,肥冢正史,10,進撃の巨人 Season 3 Part.2,,18.0,8.7,3949.0,,4/28/2019,星期日,4,28,2019
18,攻壳机动队,押井守,1,イノセンス,3/6/2004,19.0,8.7,3076.0,故事发生在不远的将来，那时科学技术相当发达，出现了纳米机械和生物电脑，Cyborg义体开始全面普及，整个世界由光和电子连接，人脑也可以直接联入网络。,,,,,
19,蓝色恐惧,今敏,1,PERFECT BLUE,2/28/1998,20.0,8.7,3315.0,雾越未麻是流行音乐偶像团体“CHAM!”中的成员之一，但是在公司的决策下，她开始转型为演员。但她却感觉内心有个声音在拒绝自己的选择，而未麻的一些歌迷也反对这个决定。随着越来越多电视剧的演出，未麻却觉得自己的头脑越来越奇怪，仿佛有“另一个自己”正在形成。这时，她身边的工作人员竟一个个接连被杀。在面对社会压力和疑云之际，未麻感到越来越混乱…,,,,,
20,福音战士新剧场版,鹤卷和哉,1,ヱヴァンゲリヲン新劇場版:破,6/27/2009,21.0,8.6,6661.0,在参拜母亲坟墓的回程途中，真嗣和葛城美里遭遇了第七使徒的攻击，关键时刻2号机势如破竹挫败对手，真嗣也由此结识了2号机的操纵者式波·明日香·兰格蕾，与沉默寡言的绫波丽不同，明日香自信张扬，甚至有些自大，在和真嗣相处的日子里，彼此闹出不少的笑话，他们三人分别驾驶着零号机、初号机和2号机，抵抗了第八使徒猛烈的攻击，在这一过程中，淡淡的情愫悄然在这三个青年男女的心中萌生，不久后，第九、十使徒相继降临，真嗣他们面临着生与死的残酷考验。,,,,,
21,凉宫春日的消失,武本康弘,1,涼宮ハルヒの消失,2/6/2010,22.0,8.6,9502.0,转眼间经已12月18日，凉宫春日期待已久的圣诞节即将来临。SOS团火锅派对的活动拍板以后，阿虚就带着烦恼回家。第二天，阿虚如常上学，但他很快注意到，学校发生了与平日完全不同的事。应该在后面的座位的凉宫春日不在，却换上了理应让长门有希消灭了的朝仓凉子……,,,,,
22,天元突破,今石洋之,27,天元突破グレンラガン,,23.0,8.6,5802.0,这是一个被命运背叛的男人，战斗、继续战斗、不断战斗的热血故事。,4/1/2007,,4,1,2007
23,机动警察,押井守,1,機動警察パトレイバー 2 the Movie,8/7/1993,24.0,8.7,951.0,若干年前，陆上自卫队某战车小队在东南亚某处遭遇袭击，除队长柘植行人外，全军覆没。,,,,,
24,瑞克和莫蒂,贾斯汀,10,Rick and Morty Season 3,,25.0,8.6,1069.0,AdultSwim频道续订旗下超高收视动画片《瑞克和莫蒂》（RickandMorty）第三季。,,星期六,,,
25,千与千寻,宫崎骏,1,千と千尋の神隠し,7/20/2001,26.0,8.6,9394.0,年仅10岁的荻野千尋是一个看起来非常普通的四年级小学生，她随父母搬家来到一个陌生的城镇准备开始一个全新的生活。然而，因为途中迷路，她和父母误闯入了一个人类不应该进入的灵异小镇。小镇的主管是当地一家叫“油屋”的澡堂的巫婆：湯婆婆；而“油屋”则是为服侍日本八百万天神洗澡的地方。镇上有一条规定，在镇上凡是没有工作的人，都要被变成猪被吃掉。,,,,,
26,命运石之门,佐藤卓哉,25,STEINS;GATE,,27.0,8.6,13724.0,故事发生在「CHAOS;HEAD」的“涩谷崩坏”事件一年半之后的世界，而舞台则从涩谷转移到了秋叶原。主角冈部伦太郎是一位深度中二病的大学生，时常幻想自己身肩重任，并自称“狂气的疯狂科学家・凤凰院凶真”，不过说到底其作为不过就是在名为“未来道具研究所”中与两个伙伴开发着奇奇怪怪又不切实际的东西。然而，这样的他们却在偶然间发明出可以把电子讯息传送过去的时间机器。在他们对未来及过去知道得越多的同时，却不知道危难正渐渐临到自己身上……,4/6/2011,星期三,4,6,2011
27,千年女优,今敏,1,千年女優,7/28/2001,28.0,8.6,4385.0,风靡日本的女明星藤原千代子，三十年前当红之际，突然从银幕消声匿迹。,,,,,
28,水星领航员,佐藤顺一,14,ARIA The ORIGINATION,,29.0,8.6,1304.0,プリマ・ウンディーネを夢見る少女、水無灯里。,1/7/2008,星期一,1,7,2008
29,虫师,长滨博史,10,蟲師 続章 第2クール,,30.0,8.6,1881.0,,10/18/2014,星期六,10,18,2014
30,混沌武士,渡边信一郎,26,サムライチャンプルー,,31.0,8.5,4123.0,茶居屋里、代官的儿子和随从正在欺负客人，这时候进来一位全身充满野兽气息的流浪武士。在茶居屋工作的风被故意拌倒、茶泼到随从的身上，代官儿子正要砍掉风的手指的时候被无幻救下。另一方面、仁看不惯代官恶意欺压乡民，教训了代官一顿。其后仁在茶居屋碰到正在教训代官儿子的无幻，被无幻当作代官的手下高手而对打了起来。在一阵激烈的打斗后两人不分上下，这时茶居屋被人放火、无幻和仁在火中继续打斗直到失去意识。,5/19/2004,星期三,5,19,2004
31,瑞克和莫蒂,贾斯汀,10,Rick and Morty Season 2,,32.0,8.6,1139.0,疯子科学家RickSanchez在失踪20年之后突然回到女儿Beth的生活中，并且在她的车库中开了一个商店。更糟的是，Rick总是将他的孙子Morty和孙女Summer「拖」进他的疯狂实验。每当他发明一个充满科幻色彩的小玩意之后，Morty就会用他独特的方式给家中添一份乱。二人总是闯着不同的祸，有着啼笑皆非的结局和编剧无比巧妙的剧情安排。每看完一集总让人拍案叫好。该剧情内容充满奇妙的科幻素材，在各种不同的平行世界下祖孙二人闯出来的事件，看似荒诞可笑，实质上却充满了对人性和社会的思考。,,,,,
32,大闹天宫,万嘉综,1,大闹天宫,,33.0,8.5,2372.0,影片以西游记中孙悟空从诞生到大闹天宫这一段的经历为主要内容。,,,,,
33,虫师,长滨博史,10,蟲師 続章,,34.0,8.5,2362.0,另一个世界，住着一群与常见动植物截然不同的生物。远古以来，人们敬畏地称它们为“虫”。当虫的世界和人的世界重合时，虫师银古便会出现。介绍中提到的虫显然不是看上去肉呼呼扭动的小东西，而是一种最接近生命本源，类似灵体的生物。它们有自己的生存方式，而这种方式却可能有悖于人类的常识，甚至危害人类的生存。于是就出现了“虫师”这种职业，他们云游四方，对虫的生命形态，生存方式进行研究，并接受人们的委托，解决可能是由虫引起的怪异事件。银古，正是他们的一员。银古出入穷乡僻壤去追寻虫的足迹。虫可能潜伏在人的身体中，潜伏在沼泽地中，潜伏在整个山岭中，带来疾病、瘟疫等可怕的灾难。银古总能找到结症，予以化解。,4/4/2014,星期五,4,4,2014
34,蜂蜜与四叶草,笠井贤一,24,ハチミツとクローバー,,35.0,8.5,3427.0,蜂蜜与四叶草讲述美大生─竹本裕太在贫穷与森田忍学长所带来的烦恼之中度过的大学生活。,4/14/2005,星期四,4,14,2005
35,蜂蜜与四叶草,长井龙雪,12,ハチミツとクローバー II,,36.0,8.5,2492.0,美大学生竹本、真山、森田在破旧不堪的公寓中过着贫困而快乐的生活。,6/29/2006,星期四,6,29,2006
36,海贼王,宇田钢之介, ,ONE PIECE,,37.0,8.5,6377.0,传说中海贼王哥尔·D·罗杰在死前说出他留下了具有财富、名声、力量的宝藏「ONEPIECE」，许多人为了争夺ONEPIECE，争相出海，许多海贼开始树立霸权，而形成了大海贼时代。十年后，草帽小子蒙其·D·路飞为了要实现与因救他而断臂的海贼红发香克斯的约定而出海，在遥远的路途上找寻着志同道合的伙伴，一起进入「伟大的航道」，目标当上海贼王。,10/20/1999, ,10,20,1999
37,机动战士,富野由悠季,50,機動戦士Ζガンダム,,38.0,8.5,1491.0,0084年，吉翁残党迪拉兹之乱终告完结，然而，联邦政府的统治仍呈现极不稳定的局面，尤其当联邦议会发布维持地球圈现状的政策决议后，反对派呼声日益高涨。虽然在加米托夫准将领导的提坦斯之铁腕下，地球圈尚未发生大规模冲突，但空气中的紧张气息已接近临界点。,3/2/1985,,3,2,1985
38,天空之城,宫崎骏,1,天空の城ラピュタ,8/2/1986,39.0,8.5,5698.0,在过去的历史之中，传说着曾有人类以高科技创造了可飞行于天空的城市——拉普达。虽多数认为这是虚构幻想出来的事物，但仍有相信飞行城市存在而试图寻找出的人们。,,,,,
39,排球少年,满仲劝,10,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,,40.0,8.5,2082.0,第三季仍将继续春高赛，而乌野高校即将迎来地区赛的最终对手——白鸟泽学园高校。,10/7/2016,星期五,10,7,2016
40,瑞克和莫蒂,贾斯汀,11,Rick and Morty Season 1,,41.0,8.5,1324.0,天才兼疯子科学家Rick在失踪多年后突然回到女儿Beth的身边，并且在她的车库里搞了一个科学实验室。Rick有一把“传送门枪”，可以穿越到宇宙的各个次元。孙子Morty莫名其妙就成了他的助手，经常被拖进他的自制太空船内，跟他一同开展各种疯狂刺激的宇宙冒险。女儿女婿对他的疯狂行为感到不满，却又对这个天才科学家无可奈何。,,,,,
41,攻壳机动队,押井守,1,GHOST IN THE SHELL / 攻殻機動隊2.0,7/12/2008,42.0,8.5,1666.0,2008年7月12日(土)公開。監督押井守。全カットを完全リニューアルした21世紀版攻殻機動隊とも言える作品。人形使い役として、新たに榊原良子がキャスティングされた。,,,,,
42,机动战士高达,高山文彦,6,機動戦士ガンダム0080 ポケットの中の戦争,,43.0,8.5,1837.0,【时代背景】,,,,,
43,四叠半神话大系,汤浅政明,11,四畳半神話大系,,44.0,8.5,5218.0,根据森见登美彦所著的小说「四叠半神话大系」改编的TV动画，将作为1月新番「交响情人梦Finale」的接档动画，从4月起在富士电视台的noitaminA栏目播放。作品以京都大学某三年级男生为主角，从四个平行世界的角度，描写当初在一年级时选择了不同社团的他，而经历了不同的大学生活。动画版将由近期出品了「小鸠」「青之文学」的MADHOUSE担当制作，以独特的视觉效果处理而为人熟知的创作人汤浅政明将出任本作监督，他还曾执导「兽爪」「海马」这两部动画，而为多部电视剧、电影、舞台剧撰写剧本的上田诚将负责本作的系列构成。另类的题材加上一班特色制作人员，相信本作又将为noitaminA播出的动画带来一番新景象了。,4/22/2010,星期四,4,22,2010
44,魔法少女小圆,新房昭之,12,魔法少女まどか☆マギカ,,45.0,8.4,14120.0,出生良好家庭，亲朋好友团聚，时哭时笑，这是谁都拥有的日常生活。市立见泷原中学的平凡初二女生鹿目圆，就是其中一位。一天，一个不可思议的人出现在她眼前。不知是偶然抑或注定，可以肯定的是，这相遇改变了她的命运，一个新的魔法少女故事亦随即开始。,1/7/2011,周四,1,7,2011
45,水星领航员,佐藤顺一,3,ARIA The AVVENIRE,9/26/2015,46.0,8.5,667.0,TVアニメ放送10周年記念プロジェクト,,,,,
46,盗梦侦探,今敏,1,パプリカ,11/25/2006,47.0,8.4,4361.0,29岁的千叶敦子博士是一个非常有魅力的美女，同时她还是一位谦逊有礼的精神治疗医师，专门研究这项领域中的一些边缘学科。最近，她所在的实验室发明了一种名叫PT的全新心理疾病治疗方法，通过一种非常厉害的装置“DC-MINI”，从梦境中寻找隐藏在患者潜意识中的心理疾病的病根，然后有针对性地进行治疗。“DC-MINI”是由实验室的同事、出类拔萃的科学家时田浩作博士开发研制出来的，他是一个不善交际，只对食物感兴趣的书呆子。但是，这个装置只能在会使用它的人手里，才能发挥正面的功效，如果落入别有用心的人手中，就会造成破坏性的影响，因为它不但可以帮助修复人类潜意识的心灵创伤，还能通过梦境来操纵一个处在睡梦中的人的记忆和行为。,,,,,
47,新世纪福音战士剧场版,庵野秀明,3,REVIVAL OF EVANGELION 新世紀エヴァンゲリオン劇場版 DEATH (TRUE)² / Air / まごころを、君に,3/7/1998,48.0,8.4,2599.0,《REVIVAL》的第一部分：「DEATH(TRUE)2」原先是作為《死與新生》的一部分推出。其中《死與新生》分為兩個部分：「DEATH」篇和「REBIRTH」篇。「DEATH」篇是60分鐘的電視動畫修正版，包括了重新製作的鏡頭和一些新鏡頭。「REVIVAL」所採用的版本，稱為「DEATH(TRUE)2」，是對「DEATH」的重新剪輯，去除《死與新生》的「DEATH」篇中的新鏡頭並且作一些小修改。作品的第二部分「REBIRTH」包括了《THEENDOFEVANGELION》的第一部分，因此是《THEENDOFEVANGELION》早期未完成的版本。,,,,,
48,死亡笔记,荒木哲郎,37,DEATH NOTE,,49.0,8.4,7931.0,高三生夜神月意外捡到一本名《DEATHNOTE》的笔记本，并且发现只要写下想要杀死的人的名字，就会变成现实。,10/4/2006,星期三,10,4,2006
49,莉兹与青鸟,山田尚子,1,リズと青い鳥,4/21/2018,50.0,8.4,4085.0,铠塚霙，高中3年级，双簧管演奏者。,,,,,
50,少女与战车,水岛努,1,ガールズ&パンツァー 劇場版,11/21/2015,51.0,8.4,3411.0,在关乎学校存续的第63回战车道全国高中生大赛中取得优胜后，大洗女子学园回归了平稳的日常。某天，大洗町将要举办一场表演赛。与大洗女子学园和知波单学园的混合队伍对战的是，圣葛罗莉安娜女学院与真理高中的混合队伍。如今已经完全变成大洗町红人的大洗女子学园战车道队得到了镇民的热烈声援。,,,,,
51,乒乓,汤浅政明,11,ピンポン THE ANIMATION,,52.0,8.4,4962.0,星野裕（阿扁）是乒乓球天才，月本诚（笑匠）则是极具天赋的乒乓球好手。他们俩从小一起长大，同为片濑高中乒乓球队队员。在高校联赛中，遇上来自中国上海的孔文革、上届冠军风间龙一，关于乒乓联赛的成长的故事拉开序幕……,4/10/2014,星期四,4,10,2014
52, ,石原立也,23,CLANNAD -クラナド-,,53.0,8.4,10315.0,我们一起迈开了脚步…,10/4/2007,星期四,10,4,2007
53,哆啦,,1787,ドラえもん,,54.0,8.5,721.0,其实即是大家最熟悉的动画版本，有26年的历史。由于日本的哆啦A梦原声配音为大山羡代，故称之为“大山版”。大山版哆啦A梦哆啦A梦25年来连续放映，于八十年代曾创下30%的高收视纪绿。原作者于1997年去世后，由电视编剧自行创作的故事涌现。于2002年10月起，哆啦A梦动画不再用胶片制作，改用电脑上色。因为收视率下降，制作单位加进不少夸张元素，目标观众有幼儿化趋向。故事质素备受日本哆啦迷及国民关注。在2005年3月18日的《多啦A梦全部角色梦之大集合》特别节目后，日本叮当全体配音员及工作人员正式踏下台板。大山羡代当时已经68岁。而大长篇停映一年。整个系列的电视短篇、特别篇及大长篇合共有1984集。,4/2/1979,,4,2,1979
54,少女革命,几原邦彦,39,少女革命ウテナ,,55.0,8.4,1952.0,天上欧蒂娜是一位穿着男生制服的性格少女。年幼时为一位王子所救，由于心怀憧憬而期望自己能成为王子。,4/2/1997,水曜日,4,2,1997
55,幽灵公主,宫崎骏,1,もののけ姫,7/12/1997,56.0,8.4,4451.0,大和王权时期蝦夷族末代王子阿席达卡，在保卫他的村庄时被一恶魔诅咒受不治创伤。村里的巫婆劝他前往西方，寻找恶魔的来源和解除诅咒的方法。在他的旅途中，他來到山獸神森林，认识了被称为“魔法公主”的、由犬神抚养大的小桑。,,,,,
56,攻壳机动队,神山健治,1,攻殻機動隊 STAND ALONE COMPLEX Solid State Society,,57.0,8.4,1778.0,时间为公历2034年，在2ndGIG“难民事件”的两年后。增员20人的新重组的公安九课又再临危受命，调查以梵文刺青为标志的恐怖分子的连续自杀事件以及机场人质劫持事件。从疑犯口中得知，潜藏于事件背后的幕后黑手，是一个被称为“傀儡回”的超高级黑客。,9/1/2006,,9,1,2006
57,剧场版,平尾隆之,1,劇場版 空の境界 第五章 矛盾螺旋,8/16/2008,58.0,8.4,5791.0,“荒耶，你在追求什么？”“真正的睿智。”“在哪里追求？”“只在自己的心里。”,,,,,
58,机动战士高达,富野由悠季,1,機動戦士ガンダム 逆襲のシャア,3/12/1988,59.0,8.4,1319.0,宇宙世纪(U.C.)0093年，成为新吉恩总帅的夏亚·阿兹纳布尔对于依然被地球重力所束缚的人类灵魂感到绝望，决心以激烈的手段加以肃正。查知此事的地球联邦军王牌驾驶阿姆罗·雷与其所属的朗德·贝尔舰队一起与夏亚所领导的新吉恩军展开最后的决战...,,,,,
59,昭和元禄落语心中,畠山守,12,昭和元禄落語心中 -助六再び篇-,,60.0,8.4,1172.0,由于难以忘记在刑务所的落语慰问会中见到的大名人·八云的“死神”，一出狱与太郎便径直前往寄席。拜倒在八云面前，成为他住所的雇工及弟子，磨炼了技艺的与太郎终于升进成为真打。他所继承的名号是第三代助六。为了八云师父，为了小夏，为了改变两人心中的助六，与太郎所找到的自己的落语是……。,1/6/2017,星期五,1,6,2017
60,的奇妙冒险,津田尚克,24,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,,61.0,8.4,4136.0,,1/9/2015,星期五,1,9,2015
61,日常,石原立也,26,日常,,62.0,8.3,9348.0,故事的主角机器人——东云名乃，一直憧憬成为一名普通的女生，却因为背上的发条而感到自卑，在被自称为博士的8岁萝莉胡乱改造之后，每次都无可奈何地感到自己与“普通女生”的距离越来越远了。除了萝莉博士外，故事还出现了很多非日常角色，如年龄为20岁且戴上博士制作的项圈能说话的黑猫、活泼且天然呆的吐槽女、擅长绘画的腐女、黑发眼镜女、外表看似不良少年实质很乖巧的男生、热爱麻糬的爆炸头男、被枪或火箭炮打到都不会死的演剧社社长等等。,4/2/2011,星期六,4,2,2011
62,怪物,小岛正幸,74,MONSTER,,63.0,8.4,1830.0,1986年，一名头部被子弹击中的重伤少年送到西德・杜塞尔多夫医院中。日本外科医生天马忽视院长的命令，以他天才般的手术技术的拯救了那位少年。,4/6/2004,火曜日,4,6,2004
63,猎人,古桥一浩,62,HUNTER×HUNTER,,64.0,8.3,2581.0,这是关于一群“猎人”的故事，所谓猎人，就是追求怪物、财宝、悬赏、美食、遗迹、幻兽等稀有存在渡生之人的总称，猎人是精英中的精英，并可以免费享受全球各国公共设施，因此必须通过高难度测试最终拿到执照才有资格成为猎人。全世界也不过只有600名左右猎人。,10/16/1999,星期六,10,16,1999
64,排球少年,满仲劝,25,ハイキュー!! セカンドシーズン,,65.0,8.4,2297.0,,10/3/2015,星期六,10,3,2015
65,钢之炼金术师,水岛精二,51,鋼の錬金術師,,66.0,8.3,5397.0,爱德华德和他的弟弟阿尔芬斯十分思念在他们还小的时候亡故的母亲，实行了炼金术中最大的禁忌——可以将死者复活的人体炼成。可是炼成失败，爱德华德失去了左腿，阿尔芬斯则失去了全身。爱德华德好不容易才以牺牲自己的右臂为代价将弟弟的灵魂炼成，并定着在一副铠甲上，可是其代价未免太大了。爱德华德和阿尔芬斯一起，为了找回所失去的一切，开始踏上了寻找拥有极大力量的“贤者之石”的旅程。,10/4/2003,星期六,10,4,2003
66,风之谷,宫崎骏,1,風の谷のナウシカ,3/11/1984,67.0,8.3,3785.0,該作品背景設定在未來，世界的產業文明達致巔峰後，經歷一場稱為「火之七日」的戰爭而毀於一旦。世界被一種由菌類和巨型昆蟲構成，名叫腐海的新生態體系所掩蓋，僅存的人類生活在小面積土地，在面對巨型昆蟲和會釋放瘴氣的腐海森林包圍威脅下積極求存。,,,,,
67,棒球英豪,前田庸生,101,タッチ,,68.0,8.3,1217.0,"上杉達也と和也は双子の兄弟。お隣の浅倉家に生まれた南とは、小さな頃からいつも一緒。あまりにも仲良く、元気なのに手を焼いた（？）親たちは共同出費で子供たちのために、３人で学び遊べる家まで建ててしまった。ところが、彼らも中学生に入る頃から、この""男２人+女１人""という状況の持つ意味を、それなりに意識し始めた。周囲は明るく可愛い南、成績優秀の和也を似合いのカップルと思っている。それに反し、兄の達也はだれもが認める""出がらし""。成績、スポーツ共に、和也に比べて数段見劣りするのだ。だが努力することは嫌いでも、その隠れた才能を見抜いてるのが和也。しかしいつも達也に反発しながらも、内心は彼にまんざらではないようすの南に、和也も気が気ではなくなって・・・。",3/24/1985,星期日,3,24,1985
68,百变之星,佐藤顺一,51,カレイドスター,,69.0,8.4,880.0,故事的主角苗木野空，因为小时候与双亲在万花筒剧团（カレイドステージ，KaleidoStage）观赏“爱丽丝梦游仙境”（不思議の国のアリス）之后便被其所吸引。但空（台湾的国语配音版称“空空”）的双亲不幸因车祸而去世，之后满脑子都是万花筒剧团，所以当她国中毕业之后不顾养父母的反对，一个人远赴美国，排除万难下终于成为万花筒剧团的一份子。经过“罗密欧与茱丽叶”、“灰姑娘”、“人鱼公主”、“阿拉伯之夜”、“自由”公演，慢慢得到了万花筒剧团台柱蕾拉的肯定和认同。,4/3/2003,星期四,4,3,2003
